"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTH1R",-2.62907971713971,4.56780845598344,-17.253078827621,9.88534039793802e-60,1.64524669109887e-58,124.918213128605
"RAPGEF3",-2.01636981049166,8.03997234025204,-17.2530721350121,9.88625733058041e-60,1.64524669109887e-58,124.918120767581
"ID4",-3.1002184298278,7.85980530139607,-17.2485397321468,1.05271228864257e-59,1.75047596957238e-58,124.855576504449
"FANCA",2.07555939390096,7.48364888744109,17.2150257806134,1.67447018473221e-59,2.77983761786257e-58,124.393412000115
"SLC47A2",-1.71509865550246,1.40668813712147,-17.2131154903137,1.71933187502466e-59,2.85200265520284e-58,124.367084982094
"ARAP3",-1.37018284953311,8.0738061507475,-17.2111759100093,1.76610812510839e-59,2.92722419506234e-58,124.340356097966
"HFM1",-1.8175301714994,1.30151761631482,-17.2104508257157,1.78391889009174e-59,2.95435427505412e-58,124.330364353459
"C8orf30A",1.28040448423886,9.58730554005181,17.2064026566487,1.8867003028902e-59,3.12204704402332e-58,124.274584778745
"AFAP1L1",-1.42160485494038,7.80515301970645,-17.1990812828137,2.08781814130114e-59,3.44927761634638e-58,124.17372390757
"CDH23",-2.36753812426597,6.21374212791398,-17.1951136541239,2.2056017799713e-59,3.64093135088573e-58,124.119075779808
"BOC",-2.20470284473628,8.72238154544396,-17.1806954325338,2.69223497271699e-59,4.440670342277e-58,123.920550426719
"PTGFR",-3.0718299573952,5.02798225704947,-17.1803027842493,2.70688826113309e-59,4.46124802233086e-58,123.915145433822
"LMNB2",1.27415373510562,10.2986613528748,17.1777356063733,2.80467318805508e-59,4.61869251852865e-58,123.879808829283
"ALDH3A1",-3.30299398993907,2.60530701992792,-17.1643869658956,3.37285777418416e-59,5.54990878409129e-58,123.696119275506
"DBNDD1",1.81206761498113,9.31953773041933,17.1543649868592,3.87367687295597e-59,6.36887194377014e-58,123.558264310765
"PRKD1",-1.8560312112865,6.64405893333375,-17.1520608290865,3.99893063116656e-59,6.56953431516264e-58,123.526576889913
"TRPM6",-2.83831119864309,3.12883843825818,-17.1486220345282,4.19341559171732e-59,6.88351857467316e-58,123.479290411292
"TUFT1",1.3225445958294,10.0263361021773,17.1469780776283,4.28969681274315e-59,7.03592705411178e-58,123.456686568745
"PCDHGA3",-2.20859647353862,3.7768604581141,-17.1468285456868,4.29856306315784e-59,7.04482903294812e-58,123.454630620914
"PRNP",-1.68256790120315,10.6985184054171,-17.1320813989408,5.26908403975193e-59,8.62849365614373e-58,123.25192208975
"MAFG-DT",1.6331700647009,6.96966509599084,17.1300230846828,5.42090092650025e-59,8.87001408788213e-58,123.223637694515
