"Tumor_Sample_Barcode" "Type"
"TCGA-AC-A6IV-01" "TCGA-AC-A6IV" "Tumor"
"TCGA-AC-A6IW-01" "TCGA-AC-A6IW" "Tumor"
"TCGA-AC-A6IX-01" "TCGA-AC-A6IX" "Tumor"
"TCGA-AC-A6NO-01" "TCGA-AC-A6NO" "Tumor"
"TCGA-AC-A7VB-01" "TCGA-AC-A7VB" "Tumor"
"TCGA-AC-A7VC-01" "TCGA-AC-A7VC" "Tumor"
"TCGA-AC-A8OP-01" "TCGA-AC-A8OP" "Tumor"
"TCGA-AC-A8OQ-01" "TCGA-AC-A8OQ" "Tumor"
"TCGA-AC-A8OR-01" "TCGA-AC-A8OR" "Tumor"
"TCGA-AC-A8OS-01" "TCGA-AC-A8OS" "Tumor"
"TCGA-AN-A03X-01" "TCGA-AN-A03X" "Tumor"
"TCGA-AN-A03Y-01" "TCGA-AN-A03Y" "Tumor"
"TCGA-AN-A041-01" "TCGA-AN-A041" "Tumor"
"TCGA-AN-A046-01" "TCGA-AN-A046" "Tumor"
"TCGA-AN-A049-01" "TCGA-AN-A049" "Tumor"
"TCGA-AN-A04A-01" "TCGA-AN-A04A" "Tumor"
"TCGA-AN-A04C-01" "TCGA-AN-A04C" "Tumor"
"TCGA-AN-A04D-01" "TCGA-AN-A04D" "Tumor"
"TCGA-AN-A0AJ-01" "TCGA-AN-A0AJ" "Tumor"
"TCGA-AN-A0AK-01" "TCGA-AN-A0AK" "Tumor"
"TCGA-AN-A0AL-01" "TCGA-AN-A0AL" "Tumor"
"TCGA-AN-A0AM-01" "TCGA-AN-A0AM" "Tumor"
"TCGA-AN-A0AR-01" "TCGA-AN-A0AR" "Tumor"
"TCGA-AN-A0AS-01" "TCGA-AN-A0AS" "Tumor"
"TCGA-AN-A0AT-01" "TCGA-AN-A0AT" "Tumor"
"TCGA-AN-A0FD-01" "TCGA-AN-A0FD" "Tumor"
"TCGA-AN-A0FF-01" "TCGA-AN-A0FF" "Tumor"
"TCGA-AN-A0FJ-01" "TCGA-AN-A0FJ" "Tumor"
"TCGA-AN-A0FK-01" "TCGA-AN-A0FK" "Tumor"
"TCGA-AN-A0FL-01" "TCGA-AN-A0FL" "Tumor"
"TCGA-AN-A0FN-01" "TCGA-AN-A0FN" "Tumor"
"TCGA-AN-A0FS-01" "TCGA-AN-A0FS" "Tumor"
"TCGA-AN-A0FT-01" "TCGA-AN-A0FT" "Tumor"
"TCGA-AN-A0FV-01" "TCGA-AN-A0FV" "Tumor"
"TCGA-AN-A0FW-01" "TCGA-AN-A0FW" "Tumor"
"TCGA-AN-A0FX-01" "TCGA-AN-A0FX" "Tumor"
"TCGA-AN-A0FY-01" "TCGA-AN-A0FY" "Tumor"
"TCGA-AN-A0FZ-01" "TCGA-AN-A0FZ" "Tumor"
"TCGA-AN-A0G0-01" "TCGA-AN-A0G0" "Tumor"
"TCGA-AN-A0XL-01" "TCGA-AN-A0XL" "Tumor"
"TCGA-AN-A0XN-01" "TCGA-AN-A0XN" "Tumor"
"TCGA-AN-A0XO-01" "TCGA-AN-A0XO" "Tumor"
"TCGA-AN-A0XP-01" "TCGA-AN-A0XP" "Tumor"
"TCGA-AN-A0XR-01" "TCGA-AN-A0XR" "Tumor"
"TCGA-AN-A0XS-01" "TCGA-AN-A0XS" "Tumor"
"TCGA-AN-A0XT-01" "TCGA-AN-A0XT" "Tumor"
"TCGA-AN-A0XU-01" "TCGA-AN-A0XU" "Tumor"
"TCGA-AN-A0XV-01" "TCGA-AN-A0XV" "Tumor"
"TCGA-AN-A0XW-01" "TCGA-AN-A0XW" "Tumor"
"TCGA-AO-A03L-01" "TCGA-AO-A03L" "Tumor"
"TCGA-AO-A03M-01" "TCGA-AO-A03M" "Tumor"
"TCGA-AO-A03N-01" "TCGA-AO-A03N" "Tumor"
"TCGA-AO-A03O-01" "TCGA-AO-A03O" "Tumor"
"TCGA-AO-A03P-01" "TCGA-AO-A03P" "Tumor"
"TCGA-AO-A03R-01" "TCGA-AO-A03R" "Tumor"
"TCGA-AO-A03T-01" "TCGA-AO-A03T" "Tumor"
"TCGA-AO-A03U-01" "TCGA-AO-A03U" "Tumor"
"TCGA-AO-A03V-01" "TCGA-AO-A03V" "Tumor"
"TCGA-AO-A0J2-01" "TCGA-AO-A0J2" "Tumor"
"TCGA-AO-A0J3-01" "TCGA-AO-A0J3" "Tumor"
"TCGA-AO-A0J4-01" "TCGA-AO-A0J4" "Tumor"
"TCGA-AO-A0J5-01" "TCGA-AO-A0J5" "Tumor"
"TCGA-AO-A0J6-01" "TCGA-AO-A0J6" "Tumor"
"TCGA-AO-A0J7-01" "TCGA-AO-A0J7" "Tumor"
"TCGA-AO-A0J8-01" "TCGA-AO-A0J8" "Tumor"
"TCGA-AO-A0J9-01" "TCGA-AO-A0J9" "Tumor"
"TCGA-AO-A0JA-01" "TCGA-AO-A0JA" "Tumor"
"TCGA-AO-A0JB-01" "TCGA-AO-A0JB" "Tumor"
"TCGA-AO-A0JC-01" "TCGA-AO-A0JC" "Tumor"
"TCGA-AO-A0JD-01" "TCGA-AO-A0JD" "Tumor"
"TCGA-AO-A0JE-01" "TCGA-AO-A0JE" "Tumor"
"TCGA-AO-A0JF-01" "TCGA-AO-A0JF" "Tumor"
"TCGA-AO-A0JG-01" "TCGA-AO-A0JG" "Tumor"
"TCGA-AO-A0JI-01" "TCGA-AO-A0JI" "Tumor"
"TCGA-AO-A0JJ-01" "TCGA-AO-A0JJ" "Tumor"
"TCGA-AO-A0JL-01" "TCGA-AO-A0JL" "Tumor"
"TCGA-AO-A0JM-01" "TCGA-AO-A0JM" "Tumor"
"TCGA-AO-A124-01" "TCGA-AO-A124" "Tumor"
"TCGA-AO-A125-01" "TCGA-AO-A125" "Tumor"
"TCGA-AO-A126-01" "TCGA-AO-A126" "Tumor"
"TCGA-AO-A128-01" "TCGA-AO-A128" "Tumor"
"TCGA-AO-A129-01" "TCGA-AO-A129" "Tumor"
"TCGA-AO-A12A-01" "TCGA-AO-A12A" "Tumor"
"TCGA-AO-A12B-01" "TCGA-AO-A12B" "Tumor"
"TCGA-AO-A12D-01" "TCGA-AO-A12D" "Tumor"
"TCGA-AO-A12E-01" "TCGA-AO-A12E" "Tumor"
"TCGA-AO-A12F-01" "TCGA-AO-A12F" "Tumor"
"TCGA-AO-A12G-01" "TCGA-AO-A12G" "Tumor"
"TCGA-AO-A12H-01" "TCGA-AO-A12H" "Tumor"
"TCGA-AO-A1KO-01" "TCGA-AO-A1KO" "Tumor"
"TCGA-AO-A1KP-01" "TCGA-AO-A1KP" "Tumor"
"TCGA-AO-A1KQ-01" "TCGA-AO-A1KQ" "Tumor"
"TCGA-AO-A1KR-01" "TCGA-AO-A1KR" "Tumor"
"TCGA-AO-A1KS-01" "TCGA-AO-A1KS" "Tumor"
"TCGA-AO-A1KT-01" "TCGA-AO-A1KT" "Tumor"
"TCGA-AQ-A04H-01" "TCGA-AQ-A04H" "Tumor"
"TCGA-AQ-A04J-01" "TCGA-AQ-A04J" "Tumor"
"TCGA-AQ-A04L-01" "TCGA-AQ-A04L" "Tumor"
"TCGA-AQ-A0Y5-01" "TCGA-AQ-A0Y5" "Tumor"
"TCGA-AQ-A1H2-01" "TCGA-AQ-A1H2" "Tumor"
"TCGA-AQ-A1H3-01" "TCGA-AQ-A1H3" "Tumor"
"TCGA-AQ-A54N-01" "TCGA-AQ-A54N" "Tumor"
