"","p.value","HR","Low 95%CI","High 95%CI"
"INPP1",0.000773794657527126,0.695197907189127,0.56242109542583,0.85932077244403
"IRF4",0.000524229277101973,0.865662684154864,0.797887205245406,0.939195261951494
"IRX5",0.917855035277609,1.00790128583373,0.867887471365023,1.17050313030505
"ITGAX",0.001487876769121,0.791431353348237,0.685082393190287,0.914289424584065
"ITPRIPL1",5.71516389022049e-05,0.775690576447778,0.685429668829975,0.877837505074704
"JAKMIP1",0.244820636090607,0.947567496104388,0.865351981532883,1.03759415686901
"KAT2B",0.74046685549161,1.03368925989908,0.849654525511137,1.25758582335322
"KCNA2",0.00355444118051881,0.764914390645679,0.638797389883631,0.915930519258128
"KCNIP1",0.00132701605770271,0.793050881871551,0.688363136209591,0.913659764961251
"KCNJ10",0.00693306249853756,0.859398076650638,0.769885249718538,0.95931835870453
"KIF19",0.00304082909444246,0.868352488159282,0.790956650134587,0.953321580347179
"KLHDC7B",0.00179931897356505,0.87507424078268,0.804739612236875,0.951556149638107
"KLHL14",0.0482051532467335,0.900418037070127,0.811424107774946,0.999172484170373
"KLRB1",4.39240653532665e-09,0.772585979606879,0.708801284555745,0.842110629440002
"KLRC1",0.000147507971185459,0.795753075899593,0.707192132539843,0.895404415104955
"KLRF1",0.0627234582286604,0.88976671554713,0.786790554963003,1.00622052857861
"KMO",0.439698759186198,1.03657481809127,0.946301409488159,1.13545995253471
"LAG3",0.0311430343073601,0.899369553708694,0.816676032572125,0.990436307516764
"LAMP3",7.2813333158981e-05,0.840321624630072,0.771108757344166,0.91574687240357
"LBP",0.246039025126886,0.968370598637361,0.917186440861782,1.02241112005994
"LCN10",0.0377419463386331,0.893355139177481,0.803197555077917,0.993632761515809
"LGALS9B",0.687509666545293,0.980289239598214,0.889664703401896,1.08014512613292
"LGALS9C",0.268812682039696,0.935135613665135,0.830331696230015,1.0531678122313
"LIF",0.0253189616561373,0.871632712132978,0.772760004782531,0.983155934777056
"LILRB5",0.41499796071375,0.957283625574888,0.861892684600839,1.06323206608744
"LIMD2",0.000288407552388266,0.780981099964445,0.683284188500727,0.892646849973209
"LIPC",0.34675321854873,0.930390418792826,0.800558339157246,1.08127826423336
"LONRF3",0.630488864306238,1.02903205255007,0.915773531685666,1.15629784934521
"LRMP",0.0110002577077396,0.852975829504253,0.754572851520559,0.964211426706286
"LRRC2",3.1703972425331e-05,0.766338343281513,0.676047516880827,0.868688134664029
"LRRC8C",0.00246610773238789,0.764971003245754,0.643157714745147,0.909855580351228
"LRRC8E",0.29452301313667,1.1421264275336,0.89084729696862,1.46428325136022
"LRRK2",0.124483213536762,0.912887590232097,0.812674172791886,1.02545864049894
